(-0.1, 0.0, 0.1)
(-0.1, -0.1, 0.2)
(-0.2, 0.0, -0.1)
(-0.2, 0.0, -0.1)
(0.0, 0.0, 0.1)
(-0.1, 0.1, 0.0)
(-0.1, 0.1, -0.1)
(-0.1, 0.1, -0.1)
(0.0, -0.1, 0.1)
(0.0, 0.0, 0.1)
(0.0, -0.1, 0.4)
(0.0, -0.1, 0.4)
(-0.1, -0.3, 0.9)
(-0.1, -0.3, 0.9)
(0.0, -0.1, 1.8)
(0.4, 0.0, 3.1)
(0.9, 0.5, 3.7)
(1.2, 0.7, 3.9)
(1.5, 1.1, 4.2)
(1.5, 1.1, 4.2)
(0.9, 1.4, 2.7)
(0.4, 1.2, 2.6)
(0.3, 1.1, 2.4)
(0.3, 1.1, 2.4)
(-0.5, 0.9, 2.3)
(0.5, 1.4, 1.6)
(0.5, 1.4, 1.6)
(-0.1, 0.7, 1.0)
(-0.1, 0.7, 1.0)
(-0.2, -0.4, 0.7)
(0.0, -0.3, 0.2)
(-0.2, 0.1, -0.2)
