(-0.5, -0.2, -1.8)
(-2.2, -0.1, -3.3)
(-2.3, -0.8, -2.2)
(-1.4, -2.1, 1.4)
(-1.8, -0.4, -0.1)
(-1.8, -0.4, -0.1)
(-1.1, -1.0, 1.6)
(-1.1, -1.0, 1.6)
(-0.9, 0.3, 3.6)
(-1.3, 0.5, 3.1)
(-1.2, 0.3, 3.6)
(-1.2, 0.3, 3.6)
(0.2, 0.2, 2.2)
(0.1, -1.0, 0.9)
(0.1, -1.0, 0.9)
(-0.2, -0.8, -1.0)
(-0.2, -0.8, -1.0)
(0.3, -2.5, -1.9)
(0.0, -2.3, -2.3)
(-0.6, -0.5, -3.6)
(-0.4, -0.6, -2.7)
(-0.5, -0.7, -2.6)
(-0.2, 0.5, -3.2)
(-0.1, 0.9, -3.5)
(1.2, 2.7, -1.9)
(1.2, 2.7, -1.9)
(1.9, 1.4, 1.5)
(1.6, 2.7, 1.8)
(1.5, 2.7, 1.3)
(0.8, 2.0, 1.8)
(0.9, -0.1, 4.0)
(-0.1, 1.3, 2.9)
(-0.8, -1.3, 2.9)
