(0.0, 0.0, 0.0)
(-0.1, 0.0, 0.0)
(0.0, 0.0, 0.0)
(-0.1, 0.1, -0.1)
(-0.1, 0.1, -0.1)
(-0.1, 0.1, -0.1)
(-0.1, 0.1, 0.1)
(-0.1, 0.1, 0.1)
(0.1, 0.2, 0.2)
(0.1, 0.1, 0.3)
(-0.1, 0.0, 0.9)
(0.1, 0.0, 1.0)
(0.4, 0.1, 1.8)
(0.7, 0.5, 1.9)
(0.7, 0.5, 1.9)
(1.1, 0.8, 2.8)
(1.1, 0.8, 2.8)
(1.1, 1.4, 2.9)
(0.8, 1.3, 2.8)
(0.3, 1.2, 2.3)
(0.0, 0.8, 2.4)
(-0.4, 0.9, 2.7)
(0.6, 0.9, 2.2)
(0.5, -0.1, 2.6)
(0.5, -0.1, 2.6)
(0.4, -0.5, 1.4)
(0.2, -0.8, 1.2)
(-0.1, -0.6, 0.7)
(-0.1, -0.6, 0.7)
(-0.5, 1.1, -0.3)
(0.2, 1.2, -0.4)
(0.0, 0.0, 0.0)
(-0.1, -0.5, 0.0)
(-0.1, -0.5, 0.0)
