(0.1, 0.1, -0.1)
(0.2, 0.0, -0.1)
(0.2, 0.0, -0.1)
(0.3, -0.2, 0.0)
(0.4, -0.3, 0.0)
(0.6, -0.3, 0.0)
(0.8, -0.2, 0.0)
(1.0, -0.1, 0.0)
(1.3, -0.1, 0.0)
(1.7, 0.0, 0.1)
(1.7, 0.0, 0.1)
(2.1, 0.0, 0.1)
(2.4, 0.1, 0.2)
(2.7, 0.1, 0.2)
(2.8, 0.0, 0.3)
(3.1, -0.1, 0.3)
(3.5, -0.3, 0.3)
(3.8, -0.3, 0.4)
(3.9, -0.1, 0.4)
(3.8, 0.0, 0.4)
(3.8, 0.0, 0.4)
(3.9, 0.0, 0.3)
(3.9, -0.1, 0.3)
(3.9, -0.2, 0.3)
(3.7, -0.2, 0.3)
(3.4, -0.1, 0.2)
(3.0, -0.1, 0.2)
(3.0, -0.1, 0.2)
(2.8, -0.2, 0.1)
(2.7, -0.3, 0.1)
(2.5, -0.3, 0.0)
(2.3, -0.4, 0.0)
(2.0, -0.4, 0.0)
(1.9, -0.2, 0.1)
(1.9, 0.1, 0.1)
(1.9, 0.1, 0.1)
(1.7, 0.3, 0.1)
(1.6, 0.3, 0.0)
(1.5, 0.2, 0.0)
(1.4, 0.1, 0.0)
(1.3, -0.1, 0.1)
(1.1, -0.1, 0.1)
(0.9, 0.0, 0.1)
(0.9, 0.0, 0.1)
(0.7, 0.1, 0.1)
(0.5, 0.1, 0.1)
(0.4, 0.0, 0.1)
(0.3, 0.0, 0.1)
(0.3, 0.0, 0.1)
(0.2, 0.0, 0.1)
(0.2, 0.0, 0.1)
(0.1, 0.0, 0.1)
(0.1, 0.0, 0.0)
(0.1, 0.0, 0.0)
(0.0, 0.1, 0.0)
(-0.2, 0.1, 0.0)
(-0.2, 0.1, 0.0)
(-0.1, 0.0, 0.0)
(0.1, 0.0, 0.0)
(0.1, 0.0, 0.0)
(0.1, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.1, 0.0)
