(0.1, 0.2, 0.1)
(0.1, 0.3, 0.1)
(0.1, 0.3, 0.1)
(0.1, 0.3, 0.1)
(0.1, 0.1, 0.2)
(0.1, 0.1, 0.2)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(-0.1, 0.1, 0.0)
(-0.1, 0.2, 0.1)
(-0.1, 0.2, 0.1)
(0.1, 0.0, -0.1)
(0.1, 0.0, 0.1)
(0.2, -0.1, 0.1)
(0.2, -0.1, 0.1)
(1.1, -0.3, 0.1)
(1.1, -0.3, 0.2)
(1.3, -0.3, 0.2)
(2.2, -0.6, -0.3)
(2.4, -1.0, -0.4)
(2.5, -0.9, -0.6)
(2.6, -0.5, -0.6)
(2.8, 0.2, -0.8)
(2.4, 0.5, -0.8)
(1.5, 0.8, -0.9)
(1.5, 0.8, -0.9)
(2.3, -0.3, -0.9)
(2.4, -0.5, -0.4)
(2.1, -0.2, -0.2)
(2.0, 0.5, 0.0)
(1.4, 0.7, -0.4)
(0.7, 0.4, 0.4)
(1.0, -0.2, -0.2)
(0.7, 0.3, 0.3)
(0.7, 0.3, 0.3)
