(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, -0.1, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.1)
(0.0, 0.0, 0.1)
(0.0, 0.0, 0.1)
(0.1, 0.0, 0.1)
(0.1, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, 0.0, 0.0)
(0.0, -0.1, 0.0)
(0.0, -0.1, -0.1)
(0.1, -0.2, -0.2)
(0.3, -0.2, -0.3)
(0.6, -0.5, -1.2)
(0.6, -0.5, -1.7)
(0.4, -0.2, -3.8)
(0.1, -0.1, -5.5)
(-1.1, -2.1, -5.2)
(-0.8, -1.7, -2.7)
(0.1, -0.3, -1.0)
(0.1, -0.3, -1.0)
(-0.3, -0.3, -0.6)
(-0.3, -0.6, -0.6)
(0.0, -0.4, 0.1)
(0.3, 0.0, 0.2)
(0.3, 0.0, 0.2)
(0.1, 0.2, 0.2)
(0.1, 0.2, 0.2)
(-0.1, 0.2, 0.0)
(-0.3, 0.3, 0.1)
(-0.3, 0.3, 0.1)
(-0.3, 0.3, 0.1)
(0.0, 0.1, 0.2)
(0.0, 0.1, 0.2)
(0.0, 0.1, 0.2)
(0.1, -0.1, 0.2)
(0.1, -0.1, 0.2)
(0.1, -0.1, 0.3)
(0.1, -0.1, 0.3)
(0.0, -0.1, 0.0)
