(0.1, -0.4, -0.6)
(0.2, -0.4, -0.7)
(0.6, -1.4, -1.5)
(0.6, -1.4, -1.5)
(0.9, -2.2, -2.3)
(0.9, -2.2, -2.3)
(0.6, -3.6, -3.7)
(0.6, -3.6, -3.7)
(0.5, -4.0, -3.9)
(0.8, -3.9, -3.6)
(1.1, -3.4, -3.1)
(1.1, -2.9, -2.7)
(0.7, -1.8, -2.2)
(0.6, -1.3, -1.9)
(0.5, -1.0, -1.6)
(0.1, -0.9, -0.8)
(0.0, -0.8, -0.2)
(0.0, -0.8, -0.2)
(-0.2, -0.6, 0.1)
(-0.2, -0.6, 0.1)
(-0.3, -0.3, 0.1)
(-0.3, -0.3, 0.1)
(-0.5, -0.1, -0.1)
(-0.5, -0.1, -0.2)
(-0.5, 0.0, -0.2)
(-0.4, 0.0, -0.2)
(-0.2, 0.1, -0.1)
(-0.2, 0.1, -0.1)
(-0.1, 0.1, 0.0)
(-0.1, 0.2, 0.0)
(0.0, 0.3, 0.2)
